Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Note: %N : Simulation Start.
Time: 0 ps  Iteration: 0  Process: /DSPProc_TB/stim  File: C:/top/f7/vicilab/sample_projects/applications/DSPProc2_21B/vhdl/HDLmodel/testbench/DSPProc_TB.vhd
blk_mem_gen_v8_4_3 collision detected at time: 810000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 830000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1530000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1550000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_3 collision detected at time: 1570000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 2, B  read address: 2
blk_mem_gen_v8_4_3 collision detected at time: 1590000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 3, B  read address: 3
blk_mem_gen_v8_4_3 collision detected at time: 1610000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 4, B  read address: 4
blk_mem_gen_v8_4_3 collision detected at time: 1630000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 5, B  read address: 5
blk_mem_gen_v8_4_3 collision detected at time: 1650000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 6, B  read address: 6
blk_mem_gen_v8_4_3 collision detected at time: 1670000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 7, B  read address: 7
blk_mem_gen_v8_4_3 collision detected at time: 1690000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 8, B  read address: 8
blk_mem_gen_v8_4_3 collision detected at time: 1710000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 9, B  read address: 9
blk_mem_gen_v8_4_3 collision detected at time: 1730000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B  read address: a
blk_mem_gen_v8_4_3 collision detected at time: 1750000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: b, B  read address: b
blk_mem_gen_v8_4_3 collision detected at time: 1770000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: c, B  read address: c
